positive,negative,brightness,loudness,speaking,whole_words,mean
1.346513404,-0.599127136,0.541426793,0.012691268,-0.065279894,-0.025982457,1
1.363465996,-0.489949758,0.53384502,0.015597589,-0.052173005,-0.021417291,1
1.3223523,-0.388434933,0.531566901,0.022932844,-0.04046984,-0.017051533,1
1.325744765,-0.299604915,0.533784209,0.03202241,-0.030570407,-0.013172514,1
1.391137733,-0.225452014,0.538978372,0.03821221,-0.022549203,-0.009908446,1
1.481256089,-0.159757582,0.546164868,0.039746021,-0.016277728,-0.00727763,1
1.501991461,-0.067818744,0.552824248,0.037268525,-0.011521544,-0.005231435,1
1.379243593,0.078510975,0.550727365,0.032482491,-0.008009177,-0.003687545,1
1.119526046,0.271744591,0.535123573,0.026964426,-0.005475701,-0.002553035,1
0.784212773,0.481671782,0.508660218,0.02173518,-0.003686432,-0.001738605,1
0.441131159,0.676021482,0.477463576,0.01742434,-0.002446619,-0.001166042,1
0.138266263,0.820729339,0.448708837,0.014420788,-0.001602311,-0.000771041,1
-0.095791916,0.871271567,0.433797343,0.012882492,-0.001036408,-0.000503174,1
-0.228258309,0.813365952,0.43834264,0.012212374,-0.000662619,-0.000324354,1
-0.229964257,0.685858605,0.457360332,0.011558284,-0.000419044,-0.000206693,1
-0.078228308,0.612408273,0.481015954,0.010611562,-0.000262302,-0.000130302,1
0.263018333,0.728741804,0.496873023,0.010433027,-0.00016261,-8.13E-05,1
0.809187094,0.930691547,0.497945596,0.011441409,-9.99E-05,-5.03E-05,1
1.50170479,1.041010351,0.484221902,0.013487777,-6.08E-05,-3.08E-05,1
2.232835293,0.994457108,0.462886011,0.015817494,-3.68E-05,-1.87E-05,1
2.902056779,0.829886285,0.443325547,0.017713597,-2.20E-05,0.007657278,1
3.430778097,0.652826721,0.432382466,0.019039171,-1.31E-05,0.055124159,1
3.709123399,0.587085887,0.431181611,0.020476152,-7.75E-06,0.125392394,1
3.654510214,0.69958097,0.436231165,0.021988326,-4.55E-06,0.177961657,1
3.256382509,0.988210908,0.440016612,0.022910808,-2.65E-06,0.194691846,1
2.600029914,1.394323156,0.437424741,0.022824449,-1.54E-06,0.179779225,1
1.840216435,1.822745974,0.429045324,0.021974474,-8.87E-07,0.146019934,1
1.189154347,2.123852515,0.419079162,0.020848673,-5.08E-07,0.105401032,1
0.823631415,2.167197126,0.415195888,0.019962777,-2.90E-07,0.065952213,1
0.763659046,1.953308896,0.422475449,0.019893412,-1.65E-07,0.031985629,1
