positive,negative,brightness,loudness,speaking,whole_words,mean
1.15552797,0.924275537,0.243150651,0.003847582,0.512863729,-0.000205438,1
0.980742947,0.975241839,0.213901852,0.002146848,0.434662918,-0.000125504,1
0.984089001,1.047813967,0.190589442,0.001713484,0.376874319,-7.60E-05,1
1.19309619,1.084233137,0.178360998,0.002717956,0.307254952,-4.57E-05,1
1.551150472,1.070819743,0.176290907,0.004771263,0.258427691,-2.73E-05,1
1.923512199,1.021641101,0.180759636,0.007213377,0.268955853,-1.62E-05,1
2.219097675,0.956859623,0.188800594,0.010691184,0.340398993,-9.52E-06,1
2.435543033,0.891931571,0.198468242,0.014311898,0.449651982,-5.57E-06,1
2.588159722,0.835614373,0.208530885,0.017143088,0.569887582,-3.24E-06,1
2.606163278,0.791584372,0.219113464,0.018532111,0.681433949,0.007666677,1
2.402082991,0.760479047,0.235180261,0.019022835,0.773633787,0.06279837,1
2.014768855,0.739777317,0.258990487,0.019066148,0.842774293,0.180526678,1
1.605632943,0.71740475,0.285169688,0.019195439,0.889435671,0.30336006,1
1.305931614,0.674671679,0.307557676,0.020345193,0.916480274,0.372657044,1
1.149736288,0.606013931,0.323317534,0.022235743,0.920106415,0.374473144,1
1.099771648,0.521804667,0.332328505,0.02298007,0.864613648,0.325800366,1
1.097424964,0.437342711,0.335834189,0.021433965,0.731036022,0.251421664,1
1.103970533,0.364519436,0.335183375,0.01802028,0.54035921,0.171353646,1
1.106769016,0.309414824,0.331467189,0.013798525,0.331012095,0.097938072,1
1.105404895,0.272905521,0.325766709,0.009822005,0.136501453,0.037258404,1
1.086991933,0.247845916,0.319523192,0.00667517,-0.023127006,-0.008661077,1
0.997101271,0.212822057,0.315291167,0.004398727,-0.140363239,-0.040178404,1
0.818702195,0.165761848,0.313638565,0.002975079,-0.216137134,-0.05898671,1
0.618558779,0.151058766,0.312864171,0.002586086,-0.255966696,-0.067462245,1
0.467854478,0.202143307,0.311468043,0.00395708,-0.259634859,-0.068213051,1
0.392089569,0.312231414,0.308981559,0.006916433,-0.195127851,-0.063745682,1
0.375418819,0.452903687,0.305729516,0.010641383,-0.046828094,-0.056235259,1
0.361274805,0.587936272,0.303498532,0.014109804,0.161482367,-0.0397312,1
0.303953926,0.658390737,0.30788185,0.018471204,0.38921229,0.024330622,1
0.200242779,0.632296393,0.321929665,0.023774796,0.601323581,0.157971793,1
0.073691526,0.525328547,0.343496033,0.028443506,0.776808536,0.343078896,1
-0.049116032,0.375465547,0.368046486,0.032562486,0.907665567,0.543667006,1
-0.15040846,0.218536427,0.391018616,0.035689685,0.994688219,0.728124045,1
-0.2226162,0.078324488,0.407831318,0.037460669,1.043499854,0.87773453,1
-0.265437884,-0.033395442,0.41562536,0.038779008,1.061800162,0.985814229,1
-0.282545871,-0.113366727,0.414749448,0.03985309,1.057682838,1.053715535,1
-0.279279597,-0.163401858,0.407766823,0.040050414,1.03865804,1.087088245,1
-0.260168708,-0.186421929,0.397627714,0.039016155,1.01111146,1.093328503,1
-0.219187236,-0.166232433,0.385652365,0.036598711,0.980056694,1.072389056,1
-0.132305866,-0.032358923,0.368356359,0.033331734,0.949103331,0.99146021,1
-0.003768665,0.255901591,0.343794735,0.02981342,0.920580949,0.833618222,1
0.142650439,0.716553601,0.314319733,0.02627854,0.895759618,0.621128089,1
0.303197847,1.399302408,0.284221507,0.023020534,0.875110437,0.39306736,1
0.463997231,2.310357836,0.257480942,0.021035966,0.858560343,0.183114567,1
0.590324708,3.344306566,0.236548453,0.020806041,0.845711164,0.011162236,1
0.649422245,4.340130317,0.22217261,0.021384052,0.836008816,-0.115624793,1
0.62719296,5.170097537,0.213581525,0.023113131,0.828861142,-0.198609171,1
0.541740076,5.718586869,0.209411479,0.026272729,0.823710822,-0.243755436,1
0.455187757,5.904745202,0.208607323,0.029305708,0.820073426,-0.258929307,1
0.428592069,5.649704243,0.211902304,0.030358422,0.817551117,-0.244600243,1
0.43182951,4.932147798,0.226263245,0.030691534,0.815831177,-0.168453527,1
0.409032814,3.868946538,0.255377142,0.031792186,0.814676383,-0.014001049,1
0.350341439,2.662215576,0.294224626,0.034077313,0.813912068,0.188462471,1
0.309415984,1.501126371,0.32977464,0.037008568,0.813412888,0.359779611,1
0.33132384,0.510659368,0.352170507,0.039381201,0.813090888,0.443250317,1
0.415565341,-0.252105384,0.359981061,0.040665968,0.812885574,0.436518298,1
0.535287614,-0.780400693,0.356741633,0.041207978,0.812756075,0.368140591,1
0.661367774,-1.097645247,0.347123789,0.041076918,0.812675225,0.271040166,1
0.769074374,-1.241953796,0.335171389,0.040021888,0.812625228,0.169971337,1
0.821523352,-1.255949229,0.324631549,0.037680414,0.81259459,0.087289442,1
0.78658386,-1.180525503,0.323078251,0.034369583,0.812575975,0.069730532,1
0.667536272,-1.05125478,0.334603295,0.031391089,0.812564755,0.142077753,1
0.49685437,-0.89661816,0.356403893,0.029506806,0.812558045,0.285683758,1
0.320964972,-0.737564165,0.38165433,0.027881634,0.81255406,0.454456368,1
0.215352481,-0.588015967,0.400105152,0.025902868,0.812551711,0.573584592,1
0.234984553,-0.455973822,0.405455299,0.022989432,0.804881787,0.597857173,1
0.363206338,-0.344887314,0.398221534,0.01868525,0.749750088,0.534799212,1
