anger,happy,fear,sad,excite,brightness,loudness,mean
0.146220298,0.81452273,0,0,0,0.588847279,0.013650643,1
-0.02438652,0.859734864,0,0,0,0.616399369,0.014594656,1
-0.144808312,1.325195271,0,0,0,0.613467719,0.016724333,1
-0.219300927,2.320708549,0,0,0,0.577745349,0.019248153,1
-0.255639589,3.579491774,0,0,0,0.518542697,0.021100779,1
-0.26284144,4.602182526,0,0,0,0.451858223,0.021930859,1
-0.249733006,4.986523702,0,0,0,0.401338176,0.022148945,1
-0.224100213,4.70665656,0,0,0,0.380871394,0.021653369,1
-0.192249644,4.034172611,0,0,0,0.387907581,0.019793797,1
-0.158873832,3.26017028,0,0,0,0.411915694,0.01665229,1
-0.127136313,2.558870415,0,0,0,0.442341505,0.013343664,1
-0.09889693,1.998644626,0,0,0,0.469998913,0.010742977,1
-0.075003818,1.603152056,0,0,0,0.4895975,0.00877908,1
-0.055592314,1.44656922,0,0,0,0.500672586,0.006896214,1
-0.040350291,1.619879099,0,0,0,0.506803357,0.004833747,1
-0.028729037,2.014475342,0,0,0,0.510351421,0.002675141,1
-0.020094717,2.337805931,0,0,0,0.509974409,0.000704754,1
-0.013825963,2.398715337,0,0,0,0.504282476,-0.000543537,1
-0.009368377,2.199298422,0,0,0,0.49321302,-0.000962165,1
-0.006258045,1.841587424,0,0,0,0.478157611,-0.000797301,1
-0.004124996,1.470770458,0,0,0.003067419,0.462098133,0.000170745,1
-0.002685253,1.380867522,0,0,0.091069285,0.450030049,0.004370132,1
-0.001727654,1.888479151,0,0,0.630690658,0.444605025,0.015641992,1
-0.001099364,3.077621753,0,0,1.887479634,0.445247358,0.032790723,1
-0.000692337,4.77919901,0,0,3.706183372,0.45075136,0.04857501,1
-0.000431756,6.644875546,0,0,5.630513581,0.458795821,0.058550003,1
-0.000266771,8.400014302,0,0,7.261585532,0.466407369,0.062630076,1
-0.000163393,10.19568059,0,0,8.291582756,0.470436345,0.060796813,1
-9.92E-05,12.27910851,0,0,8.485500559,0.468765432,0.053739767,1
-5.98E-05,14.5120116,0,0,7.791359698,0.461610242,0.043212252,1
0.015301317,16.28070229,0,0,6.413414082,0.450871388,0.031375817,1
0.121743368,16.8432628,0,0,4.695160133,0.439739003,0.020310312,1
0.344212568,15.98321135,0,0,2.957319644,0.43413805,0.011158436,1
0.680246347,14.03490723,0,0,1.418016553,0.439219767,0.004647921,1
1.336143954,11.47671153,0.006134838,0.001533709,0.187566088,0.452857543,0.002215734,1
2.476469644,8.677110607,0.059441813,0.026363274,-0.704678031,0.466311672,0.002910401,1
3.83930317,5.848994995,0.219781168,0.135341074,-1.27992513,0.470632678,0.00588542,1
5.234047471,3.177989233,0.459321079,0.286385592,-1.586384032,0.464085774,0.011765775,1
6.826366383,0.854286172,0.662158285,0.394866676,-1.683298735,0.455095837,0.021252544,1
