anger,happy,fear,sad,excite,brightness,loudness,mean
2.127133895,2.026920672,-0.000347721,0,0.220379327,0.267645638,0.033569801,1
1.326748634,2.370922044,-0.000233208,0,-1.309031153,0.259328809,0.030831203,1
0.634177746,2.430618439,-0.000154208,0,-2.374393458,0.244986337,0.02568367,1
0.080900098,2.280700504,-0.000100635,0,-3.003625749,0.236630783,0.018752748,1
-0.303993122,2.006619328,-6.49E-05,0,-3.266647716,0.242024484,0.011242436,1
-0.474133007,1.640277548,-4.13E-05,0,-3.249978318,0.25085333,0.004397255,1
-0.462526483,1.214729225,-2.61E-05,0,-3.039611631,0.249769189,-0.000421048,1
-0.38204329,0.803863272,-1.63E-05,0,-2.71142985,0.233346151,-0.002622933,1
-0.317617687,0.510893363,-1.01E-05,0,-2.32687393,0.214276433,-0.001295672,1
-0.259153182,0.391182008,-6.16E-06,0,-1.931903678,0.205498511,0.003003049,1
-0.076681802,0.445770771,-3.74E-06,0,-1.550263122,0.204625371,0.008973546,1
0.3241693,0.649839744,-2.25E-06,0.004217701,-1.161083395,0.204394374,0.015604398,1
0.910904867,0.937703427,-1.35E-06,0.037990541,-0.75059192,0.201525927,0.02206154,1
1.587820637,1.232018296,-8.00E-07,0.125249197,-0.34482695,0.196490306,0.02717515,1
2.285203422,1.40558558,-4.72E-07,0.231546238,-0.011677911,0.19009038,0.030656408,1
2.946084894,1.377147151,-2.76E-07,0.303854749,0.199785924,0.179708521,0.03270751,1
3.472833136,1.167928124,-1.61E-07,0.320266845,0.348981973,0.163824988,0.033814546,1
3.678575931,0.855078712,-9.30E-08,0.289295233,0.73186526,0.144390953,0.034238647,1
3.462145091,0.524405315,-5.35E-08,0.238243238,1.541717254,0.125253087,0.034183371,1
2.911540711,0.280350915,-3.06E-08,0.235123882,2.563029348,0.111060557,0.033680422,1
2.183679027,0.234984046,-1.74E-08,0.375479893,3.314956388,0.110407934,0.03318079,1
1.418481763,0.416261118,-9.88E-09,0.671297436,3.513423057,0.126866542,0.032519151,1
0.717077095,0.767928178,-5.57E-09,0.989871288,3.196744935,0.155771509,0.030963058,1
0.138278041,1.239154461,-3.12E-09,1.175173836,2.562309018,0.189921996,0.028477653,1
-0.294821994,1.794344725,-1.75E-09,1.17093089,1.812500043,0.223423023,0.025169092,1
-0.583194447,2.37688802,-9.71E-10,1.014612024,1.089862051,0.252503146,0.021214402,1
-0.731313355,2.873470254,-5.38E-10,0.776980452,0.472874304,0.27406882,0.016803919,1
-0.717453121,3.079076231,-2.97E-10,0.520246967,-0.006656385,0.280737993,0.011999529,1
-0.506964243,2.905720799,-1.63E-10,0.28460822,-0.34563132,0.268939771,0.007246387,1
